,seller_id,seller_type
0,UEZL3E2XAUHASTLXILVQZKMKC9P7MF,third_party_seller
1,9GWGTCHNDFWCX3HN67WUF2JLO099JI,third_party_seller
2,M98ZC7L20803D30SWJILXBJZ5DYHOG,third_party_seller
3,C8TH52MDB77ZE0F83IJND85M8J7NPS,third_party_seller
4,GUPY8BCNDLBY6CP5EU479AY4NXEG1O,third_party_seller
5,OJJTAJO1AKRIIOLKI3JQ9DQWPFRPFH,third_party_seller
6,RZ5RIXI4XECJRCLQOG06CJ0DY0PZ9H,third_party_seller
7,RM3QEHYYL6PSTWCZEOIA8K5ZJCFGL8,third_party_seller
8,VDEPH2HOFVNKPZYYJISKAGZM8NQ7K7,third_party_seller
9,3PL350G0IO8V1WF0JPQ2DNU4LZZR0M,third_party_seller
10,3X9XNCMPF9ZYCJV7GWKM3GG4QOKTX7,third_party_seller
11,ZTQAWUUF15XFZJYCUTCJ7ZRRZDX0HD,third_party_seller
12,5MSDMEC57V0XB0JEFKW8588ROV2K2D,third_party_seller
13,L6NJL6IIEY5D73ZRTEMY8YN9L9FP6G,third_party_seller
14,K6OT53M7LJE5FKO23UIN854BWBYG0L,third_party_seller
15,P5S4YWEQK2OPJISTX1TFMBH2ZVCNZH,third_party_seller
16,4XYM2HXZVYT2MQ3KNRV0TKYG69BQAQ,third_party_seller
17,OYQP80VZ98UIN980QRROPX6BAG3RS8,third_party_seller
18,LZZACIVAPGZQV7A77OUHMGNE3BYPHJ,third_party_seller
19,M76ASIREV6JT79G85N3S7T24A8H69B,third_party_seller
20,XIDLT4QMAVOK2WA8ZAYM4I4TI6RN4S,third_party_seller
21,IUROX7Q9KCPUCHC5F59KZYAYF5RTQZ,third_party_seller
22,8NX8AL8AOHURWSM3AROHKW5PHF7OD9,third_party_seller
23,X9G7RLM1K591LJK2Z782D6OMZO1EL3,third_party_seller
24,NIO1SHH3603MQLW85W7JB46B7071DC,third_party_seller
25,3V2P85K89S062T9JVPJ6MBOZPFIN3I,third_party_seller
26,PU3L9F1EJKV1GLQ9VDP5BAJDR1RTZI,third_party_seller
27,M52VT90AQJSWWNMMXYOJU4QNAJ3ZQW,third_party_seller
28,XREJEBK2PSVWUWDAE56D7BO45GKPSH,third_party_seller
29,B8ZIDKVX47CI8666JD2KEHYI0V00ZQ,third_party_seller
30,XDH40M4CO3QKME00Z2CFPG17VWSEKX,third_party_seller
31,00CFTNJ8CKMOA9AVPN9XY98KHAHSQZ,third_party_seller
32,IBPMKEIF66JZ01YHLOAA8DZOU9N2G8,third_party_seller
33,W30KAJYHJOD12W0A2PKSW1LIM8GAJR,third_party_seller
34,FDAPXHS912X42TGA5KIBKL6OVBY0YE,third_party_seller
35,FT5GFJH0O6ASTA4MBQOJZCKJAN27HL,third_party_seller
36,VEJ12NI88PBVJQWTMCDVLZTGFHDUS8,third_party_seller
37,7NOFHCN9XH92VRYVNI46D2R2M3I4YY,third_party_seller
38,FZ6YU3B2RM4FGFL3X09FSFAKUSM1JD,third_party_seller
39,IKWMTWSU13AGX1E7DCKOS6WATBV8OL,third_party_seller
40,2N4XUD5QLRIJS5QUOJ2SINI6QZYVH7,third_party_seller
41,HUPYJU9PPDR3VLBQSK4596M513JSFO,third_party_seller
42,VYAVFBPA8X1OP7MG4BJ35RHGQ064TF,third_party_seller
43,ECOYL4QUXTQAYKMOIZMAPH8X9765UR,third_party_seller
44,0L410P91YJ9S521HQJWVY3DMYL85WH,third_party_seller
45,3037GHXTEW3EC3JHG0XV5TO7H3TFI0,third_party_seller
46,S2LVJ8FYHBFXZ97FG11M0N5VJGW78Q,third_party_seller
47,RD96LLY6ZETNNTSB2WSAZP8XGSYJU7,third_party_seller
48,F1CM8AL7B08AV4AI5R68W009AIDLM3,third_party_seller
49,DDSF7U3D9UKUSIQFLP69PEUD3I4R7T,third_party_seller
50,R9ORGGVHMVQ1NTO4CPOVNZPTGIQZU4,third_party_seller
51,A1NIYQ4K3VYBVXEH5AF7RQ4F6LS2O3,third_party_seller
52,YOZ3U5EQVYXJ8RHTJA71H787F9YXIH,third_party_seller
53,H3NBSGECSAS69JJJWP9KMH3XYODKSZ,third_party_seller
54,52OJYI6TKA09HNLA4C5PXA9VOLLH4G,third_party_seller
55,RZ7DQ50LS4WO5DJQND77WFJKP1PB3P,third_party_seller
56,9BQ9BUNQAH10DYOKNJH2V2BH8YU2ZH,third_party_seller
57,FBFDA5J67OLLZ6EU1WXSP0NJIRKN3V,third_party_seller
58,Z033ZFL7Y462664M6NK5F0F9KCQUKT,third_party_seller
59,TTKHZT99FOSSB2GM7XGAC0XAOH3G7T,third_party_seller
60,7T58XUJ445033TOGI6ZHCDHAFGRAHT,third_party_seller
61,OOPP4PKYDMCEXN68DIC1QL1G64DJUP,third_party_seller
62,Q6IM1PMGQR7WA2134BKYU1SKWT4GXZ,third_party_seller
63,XGYR6THW9WHVV9W85P6GTJVCZTQAO4,third_party_seller
64,I9R84VWJ8QLYXI3Q9PGFBXN473DMHA,third_party_seller
65,HO5YD1JWDUBDYEQ7K2Z2E68YAEPL3X,third_party_seller
66,A7G9DQK53G8Y3HQZD5O6VA00K3N9Z2,third_party_seller
67,1V4SUHDAXQ53MT6VF5XMXCBF3WCF2E,third_party_seller
68,8CMQ4NWDHJTS369YZ8JQSPNF5DNW7C,third_party_seller
69,ANA8RPWZGVMGLKHIJH906YSH1JV18N,third_party_seller
70,6PE1XYKOM2OIEOMZP3HA56JI404L07,third_party_seller
71,LEN7BMPR1T107ZEK15TO5RN54S41U8,third_party_seller
72,VCCTZLZMTZQW7WER75WFJQGXF6NZ2N,third_party_seller
73,1YWBZ4A2C91BIAOU6AT06EFINHCNLV,third_party_seller
74,FBRFG7CZ2PPTTHNZE658NSXSYGPPYQ,third_party_seller
75,QML9Z981V99G94SA93EO137257VAQG,third_party_seller
76,S7OPGAP8FKNBKW5KXL81LMJK00IET7,third_party_seller
77,0NK4Y1VJ0PS9RANSL1O0QA1E4QJUUO,third_party_seller
78,J3P8N6IY0TE4EDE4ERJCF9L7SZ8Z3H,third_party_seller
