,product_id,buyer_id
0,B087J1T1H8,AE222Y4WTST6BUZ4J5Y2H6QMBITQ
1,B07TF9Q7SW,AE222Y4WTST6BUZ4J5Y2H6QMBITQ
2,B0109OU0QU,AE22ARLVNG2NGMGQYSUEUU6N3BOQ
3,B08D7NGJY8,AE22BJCLGXGMOFCGOUPWWIZH2Y6Q
4,B00WCQZKFA,AE22BJCLGXGMOFCGOUPWWIZH2Y6Q
5,B08CVNM3R8,AE22C2GQK3BBQNQJHVCU7KOEX5TQ
6,B00IPLW3WO,AE22CCE4VBYS2JZPIRMCXTIWRCAQ
7,B078TQMVWD,AE22DUJZL5RPDAAMPKNTHPABIPRA
8,B0769ZCRY2,AE22EURACV6BNCXXYEWZWBKKXVNA
9,B08HXR8Y61,AE22EVNELLSBAVCV627CVCMPOCLA
10,B08CDNKSXH,AE22EVNELLSBAVCV627CVCMPOCLA
11,B00VITFE44,AE22EVNELLSBAVCV627CVCMPOCLA
12,B08PDQBWZR,AE22EVNELLSBAVCV627CVCMPOCLA
13,B08HLXVJXB,AE22F66UFOFJR5Z6SBUDDQISNITA
14,B06XCWL7YC,AE22FGBZZ3B264XLTWV36YYVMJGA
15,B08HW168KS,AE22HXGZQZQI4UUJ6DCHQWJ3PVHQ
16,B01DN7BYE2,AE22IAJXNFFUHRJUCEKZTD3JYIDA
17,B00U6CGVDM,AE22JPQNQI2KOOQPBRTNY5J4T3WA
18,B07SDR3CP5,AE22K4SIBCPAPJIYOJXRNV2SXH7Q
19,B07D9238F6,AE22KWAGLLFBR56NWZ4EDKFKOJLA
20,B07H43XV6J,AE22MEO6CN6Q4TPAEAUIOMTSNLCQ
21,B08YP589T5,AE22O2IICZW4B65J7476ZV25FWHQ
22,B01DPAEWMI,AE22O2IICZW4B65J7476ZV25FWHQ
23,B08KZ7NS69,AE22ONBQRY6GMELNO7WOWMGOBH7A
24,B07LFJCLL7,AE22PJ6UWYDPAJCZWHJGCCQOGAWQ
25,B08CPRPZZW,AE22TOFPT2MOYNZV6OMUW7V5DKBA
26,B08L35BP36,AE22TOFPT2MOYNZV6OMUW7V5DKBA
27,B07S7CLJWL,AE22TOFPT2MOYNZV6OMUW7V5DKBA
28,B08FTGQSRN,AE22TOFPT2MOYNZV6OMUW7V5DKBA
29,B0728KY299,AE22UDPZNRFQPRKMKKP5QMRB3TTA
30,B08PJT88VV,AE22UTZWJSJT7Q6UODRV7J5LRSZA
31,B07KWWDGNC,AE22V2HPRYF5S2HQ2HMH7IK5PR3A
32,B076WV4DSL,AE22VZ5RTSB4MCFJ73TL4IVPHVWA
33,B0756P44H5,AE22WU2M5O4M3FYVT7ID6YNZRYZA
34,B07GVC4SRH,AE22XPDRM6PFKAZXVFXGMPWST33A
35,B01B5X8BJ2,AE22Z5BHDXJEAMUBRVCX33KLBXJQ
36,B07N4L482N,AE22ZDPND7HMRGNRV62PJMR4NHYA
37,B081NJ6Q6H,AE2323DNX5GJ3BUZR2NHCPCONXTA
38,B0771HWXH8,AE232LDM3Q2PKC4GJA3Q3NTJFG5Q
39,B08D34DBPN,AE233NUH2UXCKTRR4APND2BGEV6Q
40,B09CFRBBVK,AE234R2G5FBUJ372SOI44VZYTQ7Q
41,B07QV4S414,AE2367ZVUZPTQJ3DD675UKZ4GVLA
