,p_id,review_id
0,B097R46CSY,96001
1,B081GCFHPG,96002
2,B07T2L6JQR,96003
3,B07T2L6JQR,96109
4,B07T2L6JQR,96842
5,B07T2L6JQR,97628
6,B07T2L6JQR,97899
7,B07T2L6JQR,98081
8,B07T2L6JQR,98071
9,B07T2L6JQR,98219
10,B07T2L6JQR,98244
11,B07T2L6JQR,99128
12,B07T2L6JQR,100656
13,B07T2L6JQR,102092
14,B07T2L6JQR,102501
15,B07T2L6JQR,103544
16,B07T2L6JQR,104261
17,B07T2L6JQR,104991
18,B07T2L6JQR,105485
19,B07T2L6JQR,204250
20,B07T2L6JQR,106379
21,B07T2L6JQR,106993
22,B07T2L6JQR,107143
23,B07T2L6JQR,108126
24,B07T2L6JQR,108995
25,B07T2L6JQR,109450
26,B07T2L6JQR,110405
27,B07T2L6JQR,111032
28,B07T2L6JQR,112797
29,B07T2L6JQR,113024
30,B07T2L6JQR,113153
31,B07T2L6JQR,113383
32,B07T2L6JQR,113779
33,B07T2L6JQR,114689
34,B07T2L6JQR,114857
35,B07T2L6JQR,115135
36,B07T2L6JQR,115184
37,B07T2L6JQR,115310
38,B07T2L6JQR,115323
39,B07T2L6JQR,115452
40,B07T2L6JQR,116283
41,B07T2L6JQR,116543
42,B07T2L6JQR,117097
43,B07T2L6JQR,117151
44,B07T2L6JQR,118252
45,B07T2L6JQR,118343
46,B07T2L6JQR,119148
47,B07T2L6JQR,119564
48,B07T2L6JQR,120322
49,B07T2L6JQR,120477
50,B07T2L6JQR,121505
51,B07T2L6JQR,121518
52,B07T2L6JQR,121704
53,B07T2L6JQR,122532
54,B07T2L6JQR,122617
55,B07T2L6JQR,122747
56,B07T2L6JQR,123677
57,B07T2L6JQR,123978
58,B07T2L6JQR,125430
59,B07T2L6JQR,126090
60,B07T2L6JQR,126142
61,B07T2L6JQR,126786
62,B07T2L6JQR,127292
63,B07T2L6JQR,128336
64,B07T2L6JQR,128505
65,B07T2L6JQR,130709
66,B07T2L6JQR,130950
67,B07T2L6JQR,131045
68,B07T2L6JQR,132835
69,B07T2L6JQR,132990
70,B07T2L6JQR,133006
71,B07T2L6JQR,133958
72,B07T2L6JQR,134152
73,B07T2L6JQR,134976
74,B07T2L6JQR,135325
75,B07T2L6JQR,136138
76,B07T2L6JQR,136368
77,B07T2L6JQR,137972
78,B07T2L6JQR,138731
79,B07T2L6JQR,141466
80,B07T2L6JQR,141767
81,B07T2L6JQR,142450
82,B07T2L6JQR,143229
83,B07T2L6JQR,143693
84,B07T2L6JQR,144151
85,B07T2L6JQR,144675
86,B07T2L6JQR,146335
87,B07T2L6JQR,150601
88,B07T2L6JQR,152597
89,B07T2L6JQR,152953
90,B07T2L6JQR,153095
91,B07T2L6JQR,153707
92,B07T2L6JQR,153728
93,B07T2L6JQR,155400
94,B07T2L6JQR,155630
95,B07T2L6JQR,155697
96,B07T2L6JQR,155960
97,B07T2L6JQR,156180
98,B07T2L6JQR,156291
99,B07T2L6JQR,156321
100,B07T2L6JQR,156640
101,B07T2L6JQR,156811
102,B07T2L6JQR,159652
103,B07T2L6JQR,159844
104,B07T2L6JQR,161341
105,B07T2L6JQR,163595
106,B07T2L6JQR,163951
107,B07T2L6JQR,164259
108,B07T2L6JQR,164938
109,B07T2L6JQR,165557
110,B07T2L6JQR,165775
111,B07T2L6JQR,165792
112,B07T2L6JQR,166116
113,B07T2L6JQR,167122
114,B07T2L6JQR,167649
115,B07T2L6JQR,167724
116,B07T2L6JQR,168147
117,B07T2L6JQR,168746
118,B07T2L6JQR,169521
119,B07T2L6JQR,170659
120,B07T2L6JQR,170949
121,B07T2L6JQR,171218
122,B07T2L6JQR,171411
123,B07T2L6JQR,172550
124,B07T2L6JQR,172746
125,B07T2L6JQR,172762
126,B07T2L6JQR,172924
127,B07T2L6JQR,173166
128,B07T2L6JQR,173509
129,B07T2L6JQR,174334
130,B07T2L6JQR,173750
131,B07T2L6JQR,173751
132,B07T2L6JQR,174335
133,B07T2L6JQR,175746
134,B07T2L6JQR,176089
135,B07T2L6JQR,177657
136,B07T2L6JQR,178161
137,B07T2L6JQR,178773
138,B07T2L6JQR,179130
139,B07T2L6JQR,179324
140,B07T2L6JQR,179534
141,B07T2L6JQR,179615
142,B07T2L6JQR,179807
143,B07T2L6JQR,179967
144,B07T2L6JQR,180878
145,B07T2L6JQR,181265
146,B07T2L6JQR,181393
147,B07T2L6JQR,181761
148,B07T2L6JQR,181808
149,B07T2L6JQR,182453
150,B07T2L6JQR,182663
151,B07T2L6JQR,182696
152,B07T2L6JQR,182931
153,B07T2L6JQR,182990
154,B07T2L6JQR,183934
155,B07T2L6JQR,185697
156,B07T2L6JQR,186034
157,B07T2L6JQR,186755
158,B07T2L6JQR,187337
159,B07T2L6JQR,187422
160,B07T2L6JQR,188091
161,B07T2L6JQR,188170
162,B07T2L6JQR,188186
163,B07T2L6JQR,188755
164,B07T2L6JQR,189583
165,B07T2L6JQR,189732
166,B07T2L6JQR,190652
167,B07T2L6JQR,190710
168,B07T2L6JQR,190992
169,B07T2L6JQR,192008
170,B07T2L6JQR,196856
171,B07T2L6JQR,194588
172,B07T2L6JQR,196857
173,B07T2L6JQR,196855
174,B07T2L6JQR,197538
175,B07T2L6JQR,197664
176,B07T2L6JQR,198531
177,B07T2L6JQR,198912
178,B07T2L6JQR,198964
179,B07T2L6JQR,198965
180,B07T2L6JQR,199767
181,B07T2L6JQR,201348
182,B07T2L6JQR,201940
183,B07T2L6JQR,203048
184,B07T2L6JQR,203238
185,B07T2L6JQR,203330
186,B07T2L6JQR,203644
187,B07T2L6JQR,203809
188,B07T2L6JQR,203919
189,B07T2L6JQR,204646
190,B07T2L6JQR,205293
191,B07T2L6JQR,207248
192,B0008F6QGO,96004
193,B00JM1BZUW,96005
194,B07KDNK11M,96006
195,B01MXLP1T1,96007
196,B078WYZK74,96008
197,B01JIVO8GS,96009
198,B07KZQDM8Y,96010
199,B08XS4D82F,96011
200,B08JP74M51,96012
201,B07FP2C8N8,96013
202,B096LJJ4K6,96014
203,B07FX94GYX,96015
204,B01M1OBRBQ,96016
205,B001281404,96017
206,B06Y6Q2C7B,96018
207,B078N4PJQY,96019
208,B00BNARG9O,96020
209,B07L44GXXP,96021
210,B07927V3SQ,96022
211,B074CQC2NG,96023
212,B07GRQ1FZ3,96024
213,B0B2L218H2,96025
214,B08F2ZJP48,96026
215,B089LR2Y1S,96027
216,B07FFBMBP4,96028
217,B001VPEFPY,96029
218,B001VPEFPY,96424
219,B001VPEFPY,96981
220,B001VPEFPY,97963
221,B001VPEFPY,98170
222,B001VPEFPY,98452
223,B001VPEFPY,103344
224,B001VPEFPY,109182
225,B001VPEFPY,110015
226,B001VPEFPY,112340
227,B001VPEFPY,113261
228,B001VPEFPY,114190
229,B001VPEFPY,114469
230,B001VPEFPY,117451
231,B001VPEFPY,117771
232,B001VPEFPY,119130
233,B001VPEFPY,119579
234,B001VPEFPY,119858
235,B001VPEFPY,119936
236,B001VPEFPY,121745
237,B001VPEFPY,122013
238,B001VPEFPY,122065
239,B001VPEFPY,122364
240,B001VPEFPY,124054
241,B001VPEFPY,126969
242,B001VPEFPY,127887
243,B001VPEFPY,129516
244,B001VPEFPY,130514
245,B001VPEFPY,130686
246,B001VPEFPY,131633
247,B001VPEFPY,133087
248,B001VPEFPY,135594
249,B001VPEFPY,140874
250,B001VPEFPY,141699
251,B001VPEFPY,141847
252,B001VPEFPY,142813
253,B001VPEFPY,142954
254,B001VPEFPY,145005
255,B001VPEFPY,145069
256,B001VPEFPY,146328
257,B001VPEFPY,146660
258,B001VPEFPY,147240
259,B001VPEFPY,147988
260,B001VPEFPY,148001
261,B001VPEFPY,149751
262,B001VPEFPY,149831
263,B001VPEFPY,151529
264,B001VPEFPY,152516
265,B001VPEFPY,156407
266,B001VPEFPY,158801
267,B001VPEFPY,159094
268,B001VPEFPY,160708
269,B001VPEFPY,161021
270,B001VPEFPY,162709
271,B001VPEFPY,162800
272,B001VPEFPY,163973
273,B001VPEFPY,168308
274,B001VPEFPY,168599
275,B001VPEFPY,170176
276,B001VPEFPY,170197
277,B001VPEFPY,170204
278,B001VPEFPY,171328
279,B001VPEFPY,175424
280,B001VPEFPY,175691
281,B001VPEFPY,178106
282,B001VPEFPY,179194
283,B001VPEFPY,182246
284,B001VPEFPY,184238
285,B001VPEFPY,186401
286,B001VPEFPY,187575
287,B001VPEFPY,189805
288,B001VPEFPY,191368
289,B001VPEFPY,192078
290,B001VPEFPY,192705
291,B001VPEFPY,192733
292,B001VPEFPY,193206
293,B001VPEFPY,193949
294,B001VPEFPY,193957
295,B001VPEFPY,196349
296,B001VPEFPY,197224
297,B001VPEFPY,198933
298,B001VPEFPY,199150
299,B001VPEFPY,200225
