seller_id,review_id
KVSMGEV7R4DXPP23UWP71GKH499BYE,96001
V7OKB7ZLGQSWH2TF77E2MHQLKEYGBF,96002
AMAZON0000000000000000001,96003
ZFMG7E95IPVQO5DEBEW27O71Y5P7JC,96004
AMAZON0000000000000000001,96005
B9YGVABO6Z2VFLCXHIF43BUVE05B1Z,96006
SXPO4OFW234QG7Q2UR44P60D6RJ47M,96007
RV34CQG1WNW6QGEJIJQ7WJWXGHEQP1,96008
D2SM3IQUHDTE8P8MLP02JGX7XRMYOW,96009
EAP7Q5D6E7C5A0BTMEW4R5ZXUV46G6,96010
41L751QZARUOFV5YN22KN6D7VGZ538,96011
9BAO3MFEQBGIDTXD7CWHZ8UYXP3C8W,96012
S7MZOU3UX6VISCT9JZ2RQBV8KKP63N,96013
XCNAJS45V5KA361YLEEFU0JYXTSE2G,96014
1BEYXZKOG91S2X13LVL2RK87OMYKZB,96015
QC6QIDSCXCOMEJ65ERAD2DLFH4Y8YA,96016
F5VMG1P4XZCYUXNQGTKOWOATON47I6,96017
HTM7NOOY6GA86WRBX59PU80O5W1NKO,96018
B3IQOFQ7SEK5NGR9KT350WNLZU8KZQ,96019
1F0FJ9ML2E7HPDAKQ0MLS23S7NMY49,96020
8X3DTB7ZFQS72XA79FZFE7V7PGG470,96021
Y0DTVXR9WGTWHWGELFQ5SCA6H8KGPB,96022
V8AEWSZBFGYFQCET3KREHKMYMRBLRT,96023
AMAZON0000000000000000001,96024
BXZ3N1ZF6ZWKXS8F9YE28DQ1C5A01N,96025
GVZ9YVPFJEZHHNW1WW9N2N7Y7DL9QG,96026
CI4RWA2GH6TJ0T63ZZ5423KWGAE8W1,96027
UH8KTV8IBI7VLL8F66URY2ZW6S0T6M,96028
BLB0DZ7LR1UYE7QW010F5ZEA67PRQJ,96029
2KOA9SZEQPKR6PMMGUZQZ4NP7WNKI8,96030
CEFNUUVNZ1R83MVIW4OQ4NCY3N74OC,96031
R033BWGLLTBPFV8GVFN181WJKX8457,96032
3GEIZYXM6EL5LVPXKMHH4QTQ8J7XM3,96033
AGWHNCOBBBXYGSYOSJV11ZAHY081PU,96034
NOYZ72FUMA4ASN6ZI3V31SDAYSYA1W,96035
VRO0CN0SMUW29M1JT6NAX5Y7CLS0L9,96036
8Q1NV2FO24I2AAG8TWAH222V0BE7YX,96037
L9MOMLOX76N71OTUB35B2SGTOJM3V1,96038
P7AYPXJ3DQ3NOKKS8GZUCJ9VGIJOK7,96039
AMAZON0000000000000000001,96040
AV2YE84VQR93TKIVGHE71OPL20ENZT,96041
EUDICC2QPXGRP5Q7YC54YOL0NINZDS,96042
TOOO57GRRT9TALZSTT5MZAOHTO2CS2,96043
U59OCAFNKEA055NXYFSC49W6SEE9MG,96044
E6RPJKW4D7TXFU8IP4II4YC0CM8EHV,96045
CL4PIRGKKHBAEWTAJMBDZ1B93YYZCD,96046
E76TL28JW4BRGXM15XBDZ2ILC40DQU,96047
7R3NN42KFWFSTXVAV1I4WWVT3F5A57,96048
HXVBLQSZBW7TMFQ708ZX1IUHK3J9SN,96049
YJHFBYD5L38O2K7VMDOA04FUGX3NLF,96050
AMAZON0000000000000000001,96051
ZLL1WUJY9JNUI0XKZFFXY9ZNGNR180,96052
BE7QYG5IZQ7CPS84ZKKU10PE94GSY0,96053
5I6SWN56QQKGBXVKJVQLG0YGRCYFGZ,96054
KR46ZC7KYXE7UKZLKL9ILZP8PS4RPN,96055
M52VT90AQJSWWNMMXYOJU4QNAJ3ZQW,96056
CVHMMOTFH7E5T1NYB5EIQ8NM679IEV,96057
E9L5UX4PXH9SX9XBPKCWBM06TG9II9,96058
NZJM8HV9OE0YJ53FNU44S5JQAGCPHL,96059
U9V4SXS9IC3AOD0DMKHH2VCPZL2YVK,96060
718CL051H9BYS36PKBXHTCDM5OTS9E,96061
ISMMAUPSFKS5OKOH0ERRHO4YU50X3P,96062
PQMGM5WVI5Z3EF62ELHXAGULC0ZFXX,96063
