product_id,buyer_id
B087J1T1H8,AE222Y4WTST6BUZ4J5Y2H6QMBITQ
B07TF9Q7SW,AE222Y4WTST6BUZ4J5Y2H6QMBITQ
B0109OU0QU,AE22ARLVNG2NGMGQYSUEUU6N3BOQ
B08D7NGJY8,AE22BJCLGXGMOFCGOUPWWIZH2Y6Q
B00WCQZKFA,AE22BJCLGXGMOFCGOUPWWIZH2Y6Q
B08CVNM3R8,AE22C2GQK3BBQNQJHVCU7KOEX5TQ
B00IPLW3WO,AE22CCE4VBYS2JZPIRMCXTIWRCAQ
B078TQMVWD,AE22DUJZL5RPDAAMPKNTHPABIPRA
B0769ZCRY2,AE22EURACV6BNCXXYEWZWBKKXVNA
B08HXR8Y61,AE22EVNELLSBAVCV627CVCMPOCLA
B08CDNKSXH,AE22EVNELLSBAVCV627CVCMPOCLA
B00VITFE44,AE22EVNELLSBAVCV627CVCMPOCLA
B08PDQBWZR,AE22EVNELLSBAVCV627CVCMPOCLA
B08HLXVJXB,AE22F66UFOFJR5Z6SBUDDQISNITA
B06XCWL7YC,AE22FGBZZ3B264XLTWV36YYVMJGA
B08HW168KS,AE22HXGZQZQI4UUJ6DCHQWJ3PVHQ
B01DN7BYE2,AE22IAJXNFFUHRJUCEKZTD3JYIDA
B00U6CGVDM,AE22JPQNQI2KOOQPBRTNY5J4T3WA
B07SDR3CP5,AE22K4SIBCPAPJIYOJXRNV2SXH7Q
B07D9238F6,AE22KWAGLLFBR56NWZ4EDKFKOJLA
B07H43XV6J,AE22MEO6CN6Q4TPAEAUIOMTSNLCQ
B08YP589T5,AE22O2IICZW4B65J7476ZV25FWHQ
B01DPAEWMI,AE22O2IICZW4B65J7476ZV25FWHQ
B08KZ7NS69,AE22ONBQRY6GMELNO7WOWMGOBH7A
B07LFJCLL7,AE22PJ6UWYDPAJCZWHJGCCQOGAWQ
B08CPRPZZW,AE22TOFPT2MOYNZV6OMUW7V5DKBA
B08L35BP36,AE22TOFPT2MOYNZV6OMUW7V5DKBA
B07S7CLJWL,AE22TOFPT2MOYNZV6OMUW7V5DKBA
B08FTGQSRN,AE22TOFPT2MOYNZV6OMUW7V5DKBA
B0728KY299,AE22UDPZNRFQPRKMKKP5QMRB3TTA
B08PJT88VV,AE22UTZWJSJT7Q6UODRV7J5LRSZA
B07KWWDGNC,AE22V2HPRYF5S2HQ2HMH7IK5PR3A
B076WV4DSL,AE22VZ5RTSB4MCFJ73TL4IVPHVWA
B0756P44H5,AE22WU2M5O4M3FYVT7ID6YNZRYZA
B07GVC4SRH,AE22XPDRM6PFKAZXVFXGMPWST33A
B01B5X8BJ2,AE22Z5BHDXJEAMUBRVCX33KLBXJQ
B07N4L482N,AE22ZDPND7HMRGNRV62PJMR4NHYA
B081NJ6Q6H,AE2323DNX5GJ3BUZR2NHCPCONXTA
B0771HWXH8,AE232LDM3Q2PKC4GJA3Q3NTJFG5Q
B08D34DBPN,AE233NUH2UXCKTRR4APND2BGEV6Q
B09CFRBBVK,AE234R2G5FBUJ372SOI44VZYTQ7Q
B07QV4S414,AE2367ZVUZPTQJ3DD675UKZ4GVLA
B00IYLWEJW,AE236MMYZHAWU5LBRVOOE3C4E6QQ
B00GV4CQJ2,AE23D7HHJAMENM7IKA4IOIHNS7OA
B07RWWQRB6,AE23DIFMPSVCOGAULBBRDNRLNZ3Q
B00YE966A6,AE23FAH4ITCCMCA2CVWBDJIMOK3A
B06WW6G4SJ,AE23FFSTCJUS57ZZIJGWOQMPKLCQ
B01IDQJMMO,AE23HIJVXOH5UQABKP4ZMPYSF5VA
B072WSJNVF,AE23HUFRVJZ5JTXTP3QP2L2ZYHPA
B07GV9DMR8,AE23IOMOGI52GAALLMVBENM7PLVQ
B00T2HC1V8,AE23JFOQUOSC34EOTZ65GITSLLUQ
B00UGG9Z5Y,AE23KDSQY5CVAHJ7XRLBMQHMWJXA
B0925PW5LD,AE23KDSQY5CVAHJ7XRLBMQHMWJXA
B01MQP5AOQ,AE23KDSQY5CVAHJ7XRLBMQHMWJXA
B076CT4T3X,AE23L3MHWGAJGOHRLPGIG3DZT7LQ
B071P43WSL,AE23L3MHWGAJGOHRLPGIG3DZT7LQ
B01ETWZRL6,AE23L3MHWGAJGOHRLPGIG3DZT7LQ
B015VABFBG,AE23MAGVSOSWIMRTZ4VTWA3YNKXA
B08L1R3NLG,AE23NEAKTXQZ4NBXMSHLZKRI7KFQ
B08HJPFYVY,AE23O3EFVMAHLXNBRXLQLQP7OISQ
B08BHZYZ4J,AE23P7BQ57UDMWTINBJW3YQAINSQ
B081GG8PQX,AE23Q7SVWN32F3URUD6L5QOYHVRQ
B07NRKT4W2,AE23QXNOWRCGL7HSMI4TCIAWD2JQ
B08HWDDPQZ,AE23RCA5KAQT3REABRTKLZ3DU7IQ
B01GNFZHBC,AE23SK2NKAT3M3XJGHDCY4FZ4E7A
B07DL2G1HQ,AE23SYM6ELZ2GS2V7WWZ7NYHXGJA
B08HGXSGFL,AE23TVFIB33NB3AQVARRXUBQH5KA
B01MYY53WG,AE23V7PH5JW2BU6NCALZ5MLKWS2Q
B00CX1NZVU,AE23VM6ZPBTRXHEQMV4YG5YCHGAQ
B099JPSCV5,AE23WBJMNJFPCM6DH2EOEP57IQVA
B07G63YBJB,AE23ZGXTZ4CGSAGPRJLD3QVDYFNQ
B08P8BN9BZ,AE242JIMGIG5QY2HNBDFG2STTP7A
B06XXH2HVQ,AE242RFKVOAWUWYFD2JQVUSZY7TA
B01F5ZY6DG,AE242RFKVOAWUWYFD2JQVUSZY7TA
B01I9AC80M,AE244UGKS55XLGYUFS6BPCGU2OCQ
B00X3F2DSQ,AE247R4DSKTWCCZ7TKR74KYKQ3KQ
B07R92J4SR,AE247SMXZJFRHTCJQFLEVNT7A52Q
B07M83QGBF,AE24AH5A3F2ZXDANK363KY7VDW7Q
B095Y36PFL,AE24AORQZR4UWCMWFAT2LQZQZJXA
B08MKNJTW3,AE24AORQZR4UWCMWFAT2LQZQZJXA
B08YDL2FSV,AE24BF25Z4JMISTPKD4N7Y2CLYYA
B0B6T28KFW,AE24BJI6VH57VA5HFALRAHLMRPBQ
B09YRZG8T8,AE24CQNIM4N5R2UXAWGHI7LGN2TA
B01COCJBJC,AE24CR5BJLFO4TXVS67UQHGTTG2A
B07ZFZT7NM,AE24CR5BJLFO4TXVS67UQHGTTG2A
B07KMKK7M6,AE24D5P2MMGPXFCHPPTKMTK35IPQ
B08MFT9ZZ9,AE24D5P2MMGPXFCHPPTKMTK35IPQ
B086SHKZYX,AE24DVXDB7ON3F27PHP5KQCTRNVQ
B07MLZN3C8,AE24DVXDB7ON3F27PHP5KQCTRNVQ
B008CC4ASG,AE24EUGITEU2FXXP52A3FIX32PSQ
B01M0AKEKI,AE24FTGZ2MTVQTW4QLCST44UL4YA
B01JUK2Y1S,AE24FYPBTZP7FLRIYXPYZTGNXVLA
B07V2Y4Z5B,AE24IQDL25SWJVC43ZEYOR4GEP7A
B089Q7HGYZ,AE24JJKPOBB3UTGXCX7X3AODV3LQ
B00CYXJBRO,AE24JPEVPNDN6464QEBCQEHS466Q
B075SF8FFT,AE24KRYG4DBST7OQRM6BQQNQNFZA
B005VIKX2G,AE24LPIXX5DNT3GD255TEOLGGWFA
B08DTMGPQC,AE24MGD3MDOYQZVTPLRJGPGWX6HA
B09XSL2FGB,AE24OXZ5SZ4QMZ5XOIRKDN37W44Q
B01IW9BB26,AE24P4C2MJOAO6QJKEWCT36H56QQ
B01N5PCX9Q,AE24P4C2MJOAO6QJKEWCT36H56QQ
B01F0BZ756,AE24POXMPSNCNPQ6MTIPFG3PZBGQ
B08W23NJHN,AE24R5CSAQ5DQXK6OQXFANZJLPJA
B07WSFH547,AE24R5OBROIJMCDF2Q42XT6BBPNQ
B078JWY9ST,AE24RMSWU6MXDJRK7DFGG5Z6NI2Q
B07X242ZKG,AE24RMSWU6MXDJRK7DFGG5Z6NI2Q
B07G6XN33W,AE24SLQS6CBHXFB6B4B6HESJSUDA
B0B1YCQYN8,AE24SNDX7QHMBSAQYEXYWQW7KOEQ
B07BB1G9NS,AE24U24OHTOVT3P7K67WUEOQIWPA
B018GXJRXI,AE24U24OHTOVT3P7K67WUEOQIWPA
B09JNSJTLZ,AE24VDERK34AHVNL72ELAGDUBXSA
B074PJ44B4,AE24WRCZKPWZAABRBTVOM2MSREEA
B0952K6Y6X,AE24X7IU2CTFY6HRVF75SZEML5KQ
B07RQT7NQZ,AE24X7IU2CTFY6HRVF75SZEML5KQ
B0058YK7QU,AE24YPMJJBX2RUKSDKVQQ37LUTLA
B00QVCXIXM,AE24ZZRSGNWH56MRELRRZCDU34PQ
B07VBMZLC7,AE2545MJSYJ427OGA376CVNWFGEA
B00JYIYH80,AE255MT5XFRAT762EJ2FE65CI2PA
B00E81CURI,AE255MT5XFRAT762EJ2FE65CI2PA
B08RWQXSCT,AE256F5JKQE7HM2ISOCZTKOOP67Q
B07V2GWRT8,AE256UBUFQSSMMX3ARWGBIDI73DA
B0936TBZFD,AE256UBUFQSSMMX3ARWGBIDI73DA
B07DKLM8YP,AE25AWKGWAOFYQY3ABRD6ICPDWUQ
B07RFNJQM2,AE25CRN7K6G5HGH6F4Q27LGXPNOA
B07F1MMDWF,AE25CRN7K6G5HGH6F4Q27LGXPNOA
B096DVPRSF,AE25DB6BD3J76ZE4G4EKBXMHQ6NQ
B00L3TFBPG,AE25EUI74QNO66ZLKOOEK7P27DEQ
B01A8SGK5W,AE25FLJN6TSND7VNNRPI4RPGAUKQ
B07N8FKDTZ,AE25I2P3XLXGCYQI6D4D675UVOPQ
B08K4VBN2J,AE25I2P3XLXGCYQI6D4D675UVOPQ
B07CJFXD5C,AE25I2P3XLXGCYQI6D4D675UVOPQ
B08NJ97WFQ,AE25JUFPVFB6C3FBCBDVVG3XAW2A
B00OQK2ZTE,AE25JZAFSFERK6AR2YSXJI7EOMZQ
B00766RSK6,AE25KAHETLSWSAYSAN4N2DIGPTVA
B016GFGPOM,AE25KZKVPKFW4D2IHSGHLDNIRXJQ
B00MSKYU2O,AE25LFIMU6JB4UGSQVQUH44U6PBA
B073H92NFF,AE25M5KTVZR7IHAWWQY4YE6I3R6Q
B06XXYD7W4,AE25O5YBPAKLCP5D33V5QX7CWTRA
B003XG0C56,AE25PQT662BHW6FC4L2LQSBJK27A
B08QZGK7C2,AE25PQT662BHW6FC4L2LQSBJK27A
B00NG2RWPK,AE25R3PHPB664P5M7SCGBG3YW5JQ
B00R3MGMX2,AE25SBSS3BQCRXTH5ABALQR4WQKA
B07YR5QHTV,AE25TN4BAEKFNTWMVXVYNW4RFMBA
B004M5PFHC,AE25TN4BAEKFNTWMVXVYNW4RFMBA
B076R988F4,AE25TNNILDK43KWQVAPPFHNFRM4A
B019HUWPRO,AE25UPOFUHB7MKDPERGBQU4REHLA
B08Y6DQ1JW,AE25UPOFUHB7MKDPERGBQU4REHLA
B08R3DMSW4,AE25WA7EBPSL75RANIXDVUHTOUHA
B00CBY2W4U,AE25WA7EBPSL75RANIXDVUHTOUHA
B076P7ZXDV,AE25XAQJU3TK7IUMWPS3SPMYS52Q
B001LBU4IA,AE25XAQJU3TK7IUMWPS3SPMYS52Q
B0196JPV0Y,AE25XWSXV6C6KKAEAQNYE66YOX4Q
B08Z7GDB16,AE25XWSXV6C6KKAEAQNYE66YOX4Q
B07F8TPTQX,AE25YEIZNCZLNINR7YSC75JKZDCA
B08F24CXHR,AE25YLTFGTCRKOUUO63NVVJ3BL3Q
B01BZVADRW,AE263TB5DLFFQN3CKBPC4A6YLUBA
B017XVBLGU,AE264EKYLXQEUOF5TTKJAUC6XTVQ
B0CDH5TH82,AE2657RPFQ3HWSXKFPGRXQFIS52A
B08WTX8K9F,AE265IS3DRIQMGPMEA63RDGWA7GQ
B0854R2BKF,AE26D7GXFBXMWMV25IFOPSVJ7DDA
B08V1R35QT,AE26EH6CPBBSQBVFNQXGVY6BI3QQ
B072P9X9NG,AE26F3T6ZENY3NTBBFDGWNLBPXUA
B077NMYJ7V,AE26GQ6UQFGIWXKGFE6PL4V75VVA
B08V1B3NBP,AE26HJA4SWO3PZYGFXMDJI7ZD4GA
B01N2VTZCC,AE26I23YLAUEGIL4ZH3QFWSDMXKQ
B01N21VNKH,AE26IGHUY5VG3HF6EBKC7OKVVUOA
B00XPT4Q3K,AE26KPLWIB7FIOZ4KXEQ2HRGTW6A
B0B2P7LTTL,AE26L3TBR7322UQVGJ3KJ2UYKYJA
B08X3FRLVZ,AE26L3TBR7322UQVGJ3KJ2UYKYJA
B092Z6B3GR,AE26NBQC65QLME3T7JN4WK22REXQ
B083XHHG76,AE26NLRC5QJMDA5VX56L7HIOLSHA
B09MFR3RNP,AE26NLRC5QJMDA5VX56L7HIOLSHA
B00XRUBGZ8,AE26O6BPJZ7PNZS7BU4EOVA4K7TA
B096M9VDXX,AE26O6BPJZ7PNZS7BU4EOVA4K7TA
B072XP9T7S,AE26OJQISDXCKA334FRRYWVCJW4Q
B08T9JZ77C,AE26PLQ3RRZTC65PFQULI3TDU5YQ
B07H6Y2GN7,AE26T43QCNWR5VUMX2DQ6YGUUXEA
B07Q58LMPF,AE26U6SVHQCJABQKV2WLYVNQIY7Q
B0832DGWVQ,AE26VJMIUD5PH3COGSHKENH3I2CQ
B07CV8QLB8,AE26VZLFVWBGFXXHG6INXAYEX7VA
B009SNB978,AE26W7L2L3RYKWAR2YQRMVRZUQ2A
B07G9C4NLR,AE26W7L2L3RYKWAR2YQRMVRZUQ2A
B003G55LSC,AE26XFMESWVJLMNF6XFZI5BCKMEA
B00LETREM8,AE26XFMESWVJLMNF6XFZI5BCKMEA
B07QRGLNP8,AE26ZL25TPMF37YWTEDRCPDQUTOQ
