p_id,review_id
B097R46CSY,96001
B081GCFHPG,96002
B07T2L6JQR,96003
B07T2L6JQR,96109
B07T2L6JQR,96842
B07T2L6JQR,97628
B07T2L6JQR,97899
B07T2L6JQR,98081
B07T2L6JQR,98071
B07T2L6JQR,98219
B07T2L6JQR,98244
B07T2L6JQR,99128
B07T2L6JQR,100656
B07T2L6JQR,102092
B07T2L6JQR,102501
B07T2L6JQR,103544
B07T2L6JQR,104261
B07T2L6JQR,104991
B07T2L6JQR,105485
B07T2L6JQR,204250
B07T2L6JQR,106379
B07T2L6JQR,106993
B07T2L6JQR,107143
B07T2L6JQR,108126
B07T2L6JQR,108995
B07T2L6JQR,109450
B07T2L6JQR,110405
B07T2L6JQR,111032
B07T2L6JQR,112797
B07T2L6JQR,113024
B07T2L6JQR,113153
B07T2L6JQR,113383
B07T2L6JQR,113779
B07T2L6JQR,114689
B07T2L6JQR,114857
B07T2L6JQR,115135
B07T2L6JQR,115184
B07T2L6JQR,115310
B07T2L6JQR,115323
B07T2L6JQR,115452
B07T2L6JQR,116283
B07T2L6JQR,116543
B07T2L6JQR,117097
B07T2L6JQR,117151
B07T2L6JQR,118252
B07T2L6JQR,118343
B07T2L6JQR,119148
B07T2L6JQR,119564
B07T2L6JQR,120322
B07T2L6JQR,120477
B07T2L6JQR,121505
B07T2L6JQR,121518
B07T2L6JQR,121704
B07T2L6JQR,122532
B07T2L6JQR,122617
B07T2L6JQR,122747
B07T2L6JQR,123677
B07T2L6JQR,123978
B07T2L6JQR,125430
B07T2L6JQR,126090
B07T2L6JQR,126142
B07T2L6JQR,126786
B07T2L6JQR,127292
B07T2L6JQR,128336
B07T2L6JQR,128505
B07T2L6JQR,130709
B07T2L6JQR,130950
B07T2L6JQR,131045
B07T2L6JQR,132835
B07T2L6JQR,132990
B07T2L6JQR,133006
B07T2L6JQR,133958
B07T2L6JQR,134152
B07T2L6JQR,134976
B07T2L6JQR,135325
B07T2L6JQR,136138
B07T2L6JQR,136368
B07T2L6JQR,137972
B07T2L6JQR,138731
B07T2L6JQR,141466
B07T2L6JQR,141767
B07T2L6JQR,142450
B07T2L6JQR,143229
B07T2L6JQR,143693
B07T2L6JQR,144151
B07T2L6JQR,144675
B07T2L6JQR,146335
B07T2L6JQR,150601
B07T2L6JQR,152597
B07T2L6JQR,152953
B07T2L6JQR,153095
B07T2L6JQR,153707
B07T2L6JQR,153728
B07T2L6JQR,155400
B07T2L6JQR,155630
B07T2L6JQR,155697
B07T2L6JQR,155960
B07T2L6JQR,156180
B07T2L6JQR,156291
B07T2L6JQR,156321
B07T2L6JQR,156640
B07T2L6JQR,156811
B07T2L6JQR,159652
B07T2L6JQR,159844
B07T2L6JQR,161341
B07T2L6JQR,163595
B07T2L6JQR,163951
B07T2L6JQR,164259
B07T2L6JQR,164938
B07T2L6JQR,165557
B07T2L6JQR,165775
B07T2L6JQR,165792
B07T2L6JQR,166116
B07T2L6JQR,167122
B07T2L6JQR,167649
B07T2L6JQR,167724
B07T2L6JQR,168147
B07T2L6JQR,168746
B07T2L6JQR,169521
B07T2L6JQR,170659
B07T2L6JQR,170949
B07T2L6JQR,171218
B07T2L6JQR,171411
B07T2L6JQR,172550
B07T2L6JQR,172746
B07T2L6JQR,172762
